#where:  mls  (AFGL Atmospheric Constituent Profiles - normalized)
#                                           molecular  concentrations
#what:   z   pressure   temp     H2O        CO2        O3         N2O        CO         CH4        N2       O2
#units: km     atm        K     ppV        ppV        ppV        ppV        ppV        ppV        ppV      ppV
  15.00  1.2830E-01   215.70   3.400E-06  3.300E-04  5.000E-07  2.724E-07  3.941E-08  1.422E-06  7.810E-01  2.090E-01
  16.00  1.0955E-01   215.70   3.300E-06  3.300E-04  6.000E-07  2.611E-07  3.069E-08  1.390E-06  7.810E-01  2.090E-01
  17.00  9.3758E-02   215.70   3.200E-06  3.300E-04  7.000E-07  2.421E-07  2.489E-08  1.356E-06  7.810E-01  2.090E-01
  18.00  8.0138E-02   216.80   3.150E-06  3.300E-04  1.000E-06  2.174E-07  1.966E-08  1.323E-06  7.810E-01  2.090E-01
  19.00  6.8591E-02   217.90   3.200E-06  3.300E-04  1.500E-06  1.843E-07  1.549E-08  1.281E-06  7.810E-01  2.090E-01
  20.00  5.8722E-02   219.20   3.300E-06  3.300E-04  2.000E-06  1.607E-07  1.331E-08  1.224E-06  7.810E-01  2.090E-01
  21.00  5.0333E-02   220.40   3.450E-06  3.300E-04  2.400E-06  1.323E-07  1.232E-08  1.154E-06  7.810E-01  2.090E-01
  22.00  4.3129E-02   221.60   3.600E-06  3.300E-04  2.900E-06  1.146E-07  1.232E-08  1.066E-06  7.810E-01  2.090E-01
  23.00  3.7108E-02   222.80   3.850E-06  3.300E-04  3.400E-06  1.035E-07  1.307E-08  9.730E-07  7.810E-01  2.090E-01
  24.00  3.1779E-02   223.90   4.000E-06  3.300E-04  4.000E-06  9.622E-08  1.400E-08  8.800E-07  7.810E-01  2.090E-01
  25.00  2.7338E-02   225.10   4.200E-06  3.300E-04  4.800E-06  8.958E-08  1.521E-08  7.888E-07  7.810E-01  2.090E-01
  27.50  1.8821E-02   228.45   4.450E-06  3.300E-04  6.000E-06  8.006E-08  1.722E-08  7.046E-07  7.810E-01  2.090E-01
  30.00  1.3027E-02   233.70   4.700E-06  3.300E-04  7.000E-06  6.698E-08  1.995E-08  6.315E-07  7.810E-01  2.090E-01
  32.50  9.1784E-03   239.00   4.850E-06  3.300E-04  8.100E-06  4.958E-08  2.266E-08  5.592E-07  7.810E-01  2.090E-01
  35.00  6.4347E-03   245.20   4.950E-06  3.300E-04  8.900E-06  3.695E-08  2.487E-08  5.008E-07  7.810E-01  2.090E-01
  37.50  4.5793E-03   251.30   5.000E-06  3.300E-04  8.700E-06  2.519E-08  2.716E-08  4.453E-07  7.810E-01  2.090E-01
  40.00  3.2865E-03   257.50   5.100E-06  3.300E-04  7.550E-06  1.736E-08  2.962E-08  3.916E-07  7.810E-01  2.090E-01
  42.50  2.3785E-03   263.70   5.300E-06  3.300E-04  5.900E-06  1.158E-08  3.138E-08  3.389E-07  7.810E-01  2.090E-01
  45.00  1.7370E-03   269.90   5.450E-06  3.300E-04  4.500E-06  7.665E-09  3.307E-08  2.873E-07  7.810E-01  2.090E-01
  47.50  1.2731E-03   275.20   5.500E-06  3.300E-04  3.500E-06  5.321E-09  3.487E-08  2.384E-07  7.810E-01  2.090E-01
  50.00  9.3856E-04   275.70   5.500E-06  3.300E-04  2.800E-06  3.215E-09  3.645E-08  1.944E-07  7.810E-01  2.090E-01
  55.00  5.0827E-04   269.30   5.350E-06  3.300E-04  1.800E-06  2.030E-09  3.923E-08  1.574E-07  7.810E-01  2.090E-01
  60.00  2.6844E-04   257.10   5.000E-06  3.300E-04  1.300E-06  1.397E-09  4.673E-08  1.500E-07  7.810E-01  2.090E-01
  65.00  1.3718E-04   240.10   4.400E-06  3.300E-04  8.000E-07  1.020E-09  6.404E-08  1.500E-07  7.810E-01  2.090E-01
  70.00  6.6124E-05   218.10   3.700E-06  3.300E-04  4.000E-07  7.772E-10  1.177E-07  1.500E-07  7.810E-01  2.090E-01
  75.00  2.9608E-05   196.10   2.950E-06  3.300E-04  1.900E-07  6.257E-10  2.935E-07  1.500E-07  7.810E-01  2.090E-01
  80.00  1.1843E-05   174.10   2.100E-06  3.280E-04  2.000E-07  5.166E-10  6.815E-07  1.500E-07  7.810E-01  2.090E-01
  85.00  4.4214E-06   165.10   1.330E-06  3.200E-04  5.700E-07  4.352E-10  1.465E-06  1.500E-07  7.810E-01  2.000E-01
  90.00  1.6186E-06   165.00   8.500E-07  3.100E-04  7.500E-07  3.727E-10  2.849E-06  1.400E-07  7.800E-01  1.900E-01
  95.00  6.1683E-07   178.30   5.400E-07  2.700E-04  7.000E-07  3.237E-10  5.166E-06  1.300E-07  7.790E-01  1.800E-01
 100.00  2.5463E-07   190.50   4.000E-07  1.950E-04  4.000E-07  2.844E-10  1.008E-05  1.200E-07  7.770E-01  1.600E-01
 105.00  1.1547E-07   222.20   3.400E-07  1.100E-04  2.000E-07  2.524E-10  1.865E-05  1.100E-07  7.740E-01  1.400E-01
 110.00  6.0301E-08   262.40   2.800E-07  6.000E-05  5.000E-08  2.260E-10  2.863E-05  9.500E-08  7.700E-01  1.200E-01
 115.00  3.5134E-08   316.80   2.400E-07  4.000E-05  5.000E-09  2.039E-10  3.890E-05  6.000E-08  7.650E-01  9.400E-02
 120.00  2.2403E-08   380.00   2.000E-07  3.500E-05  5.000E-10  1.851E-10  5.000E-05  3.000E-08  7.600E-01  7.250E-02
